cycles,ce_mean,ce_std,we_mean,we_std,oe_mean,oe_std
50,124.1,0.04917,124.28,0.07372,126.41,0.49873
49,124.23,0.42505,124.28,0.45995,124,0
48,122.07,0.29035,121.94,0.27894,121.99,0.10744
47,119.93,0.26789,119.79,0.41497,119.07,0.32062
46,116.79,0.41157,116.63,0.48505,116.93,0.26808
45,114.61,0.49078,114.47,0.50277,114,0.06114
44,112.43,0.49441,112.33,0.4723,111.6,0.49643
43,109.31,0.4605,109.18,0.38431,109.46,0.5096
42,107.18,0.39324,107.11,0.36008,106.65,0.44037
41,104.99,0.09154,104.97,0.18462,104.3,0.31562
40,102.11,0.31741,102.04,0.19915,101.79,0.3857
39,99.027,0.26008,99.908,0.31356,99.166,0.2497
38,96.94,0.29654,96.79,0.40742,96.873,0.2607
37,94.835,0.37213,94.742,0.43756,94.227,0.38385
36,91.689,0.46315,91.499,0.50004,91.724,0.30904
35,89.44,0.49677,89.271,0.44511,89.318,0.45228
34,87.158,0.36686,87.048,0.26597,86.605,0.42911
33,84.013,0.11161,84,0.01985,84.155,0.22846
32,81.778,0.41794,81.723,0.44981,81.598,0.16236
31,79.76,0.42778,79.7,0.45812,79.1,0.22397
30,77,0.0,77,0.0,76.798,0.32134
29,74.966,0.45385,74.795,0.40977,74.405,0.3724
28,72.959,0.24033,72.845,0.38612,72.023,0.44831
27,70.008,0.12739,69.999,0.08372,69.441,0.41097
26,66.591,0.49398,66.362,0.48463,66.704,0.45037
25,64.287,0.46067,64.192,0.40674,64.297,0.30006
24,62.1,0.34519,61.998,0.25492,61.785,0.36416
23,59.002,0.07271,58.999,0.05065,58.137,0.21357
22,56.55,0.49976,56.483,0.50353,56.776,0.34004
21,54.401,0.49396,54.335,0.47635,53.992,0.49525
20,51.998,0.04834,51.997,0.05774,51.566,0.31327
19,49.179,0.41556,49.106,0.3801,49.104,0.42719
18,47.119,0.36804,47.03,0.36253,46.483,0.36838
17,44.99,0.10065,44.979,1.14428,44.211,0.27825
16,42.35,0.48166,42.262,0.44989,41.897,0.42758
15,40.609,0.49109,40.469,0.50167,39.599,0.44788
14,38.083,0.32322,38.021,0.19301,37.364,0.2888
13,35.55,0.54249,35.425,0.47364,34.811,0.45685
12,31.756,0.43559,31.648,0.48247,31.901,0.19772
11,29.135,0.36654,29.145,0.37921,29.184,0.44675
10,26.885,0.32416,26.829,0.38129,26.39,0.28699
9,23.487,0.50211,23.455,0.50024,23.901,0.39949
8,21.196,0.39717,21.168,0.37796,21.298,0.38418
7,19.021,0.30372,19.047,0.32556,19.047,0.48693
6,16.305,0.46032,16.254,0.43519,16.283,0.48693
5,15.04,0.35278,14.842,0.39674,14.318,0.43127
4,13.005,0.06887,13,0.02521,12.663,0.35709
3,10.49,0.50068,10.301,0.46093,10.034,0.34398
2,8.9962,0.09292,8.9955,0.10579,8.0616,0.21643
1,7.5724,0.50934,7.592,0.51741,6.9706,0.41747
